"region","departamento","municipio","vigencia","tipoentidad","entidad","sector","fuentefinanciacion","valorcomprometido","valorobligado","valorpagado"
"Amazonas","Caquetá","Solano","2023","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Orinoquía","Arauca","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","51990302.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2014","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","5738296579.00000000","5610523194.00000000","4897131098.00000000"
"Andina","Antioquia","Abriaquí","2021","Municipio","AbriaquíAntioquia","Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Caribe","Magdalena","Santa Marta","2023","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","366324671.25000000","144518700.36000000","144518700.36000000"
"Orinoquía","Casanare","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Registraduria Nacional del Estado Civil - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","5000000.00000000","5000000.00000000","4500000.00000000"
"Caribe","La Guajira","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","18757383713.00000000","10763309607.77000000","6548623081.59000000"
"Andina","Risaralda","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio de la Registraduria - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","260744019.00000000","227557355.00000000","222090843.00000000"
"Andina","Tolima","Anzoátegui","2023","Municipio","AnzoáteguiTolima","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2010","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","73332160.00000000","73332160.00000000","73332160.00000000"
"Amazonas","Caquetá","Todo el Depto","2014","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","785335521.49000000","785335521.49000000","783815986.43000000"
"Andina","Risaralda","Pereira","2024","Municipio","PereiraRisaralda","Gobierno Territorial","SGP - Sistema General de Participaciones","35400000.00000000","35400000.00000000","35400000.00000000"
"Andina","Boyacá","Samacá","2023","Municipio","SamacáBoyacá","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","499957454.31000000"
"Andina","Santander","Todo el Depto","2013","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","35849471081.17000000","8646029688.81000000","5035544066.81000000"
"Pacífico","Nariño","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","5000000000.00000000","5000000000.00000000","0.00000000"
"Andina","Cundinamarca","Facatativá","2018","Privada","Ministerio Educacion Nacional - Educación","Educación","Propios de los privados","10000000.00000000","10000000.00000000","10000000.00000000"
"Andina","Norte de Santander","Cucutilla","2022","Municipio","CucutillaNorte de Santander","Transporte","SGP - Sistema General de Participaciones","311191052.00000000","311191052.00000000","311191052.00000000"
"Andina","Quindio","Todo el Depto","2017","Entidades Presupuesto Nacional - PGN","Consejo Superior de la Judicatura - Rama Judicial","Rama Judicial","PGN - Presupuesto General de la Nación","844211069.00000000","844211069.00000000","612418039.00000000"
